date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2020-01-02,601318,71.71,71.93,72.6,71.69,778252,6712531712.0,1.28,0.93,0.66,0.72
2020-01-03,601318,72.62,72.01,72.69,71.71,594980,5137312000.0,1.36,0.11,0.08,0.55
2020-01-06,601318,71.73,71.41,72.68,71.31,636448,5487967744.0,1.9,-0.83,-0.6,0.59
2020-01-07,601318,71.82,71.96,72.27,71.48,452188,3886450096.0,1.11,0.77,0.55,0.42
2020-01-08,601318,71.79,70.81,71.79,70.31,628053,5347387392.0,2.06,-1.6,-1.15,0.58
2020-01-09,601318,71.39,70.85,71.42,70.5,598712,5090240000.0,1.3,0.06,0.04,0.55
2020-01-10,601318,71.16,70.59,71.2,70.42,525865,4460689408.0,1.1,-0.37,-0.26,0.49
2020-01-13,601318,70.82,72.26,72.28,70.59,810589,6944781568.0,2.39,2.37,1.67,0.75
2020-01-14,601318,73.01,72.64,73.63,72.49,716682,6246205952.0,1.58,0.53,0.38,0.66
2020-01-15,601318,72.62,71.62,72.93,71.49,526217,4530511104.0,1.98,-1.4,-1.02,0.49
2020-01-16,601318,72.12,71.36,72.18,71.36,498579,4283072144.0,1.14,-0.36,-0.26,0.46
2020-01-17,601318,71.96,72.06,72.71,71.66,555370,4786520320.0,1.47,0.98,0.7,0.51
2020-01-20,601318,74.11,73.41,74.51,73.16,936051,8248578816.0,1.87,1.87,1.35,0.86
2020-01-21,601318,72.81,71.41,73.1,71.41,727579,6273908480.0,2.3,-2.72,-2.0,0.67
2020-01-22,601318,70.81,71.03,71.29,69.64,736577,6235780096.0,2.31,-0.53,-0.38,0.68
2020-01-23,601318,69.82,69.3,70.37,68.29,1080021,9019354112.0,2.93,-2.44,-1.73,1.0
2020-02-03,601318,62.32,63.52,65.06,62.21,2031499,15779335424.0,4.11,-8.34,-5.78,1.88
2020-02-04,601318,64.11,66.24,66.78,64.01,1213481,9661568256.0,4.36,4.28,2.72,1.12
2020-02-05,601318,66.37,66.19,67.14,65.57,753197,6062969600.0,2.37,-0.08,-0.05,0.7
2020-02-06,601318,66.99,67.33,67.78,66.19,672190,5451123712.0,2.4,1.72,1.14,0.62
2020-02-07,601318,66.41,66.84,67.01,66.23,491631,3968082288.0,1.16,-0.73,-0.49,0.45
2020-02-10,601318,66.16,66.11,66.45,65.71,593604,4759660544.0,1.11,-1.09,-0.73,0.55
2020-02-11,601318,66.7,66.94,67.67,66.31,584322,4748597504.0,2.06,1.26,0.83,0.54
2020-02-12,601318,66.91,67.01,67.27,66.36,444339,3595991664.0,1.36,0.1,0.07,0.41
2020-02-13,601318,67.01,66.26,67.01,66.17,562604,4532120576.0,1.25,-1.12,-0.75,0.52
2020-02-14,601318,66.18,66.81,67.07,66.02,428765,3460459248.0,1.58,0.83,0.55,0.4
2020-02-17,601318,66.81,68.2,68.3,66.51,678119,5545284352.0,2.68,2.08,1.39,0.63
2020-02-18,601318,67.62,67.36,67.92,67.25,513200,4192774608.0,0.98,-1.23,-0.84,0.47
2020-02-19,601318,66.84,67.51,68.05,66.82,460474,3760231168.0,1.83,0.22,0.15,0.43
2020-02-20,601318,67.81,69.09,69.42,67.16,833043,6866907904.0,3.35,2.34,1.58,0.77
2020-02-21,601318,68.31,68.19,69.04,67.81,1093906,9020541440.0,1.78,-1.3,-0.9,1.01
2020-02-24,601318,66.81,66.53,67.11,66.31,1035103,8361285888.0,1.17,-2.43,-1.66,0.96
2020-02-25,601318,65.61,66.0,66.13,65.32,869001,6948570624.0,1.22,-0.8,-0.53,0.8
2020-02-26,601318,65.26,65.64,66.57,64.92,844167,6737172992.0,2.5,-0.55,-0.36,0.78
2020-02-27,601318,65.41,65.6,66.21,65.11,666793,5318013440.0,1.68,-0.06,-0.04,0.62
2020-02-28,601318,64.41,63.53,65.1,63.52,983923,7697148672.0,2.41,-3.16,-2.07,0.91
2020-03-02,601318,64.13,65.39,66.01,64.13,712323,5669190144.0,2.96,2.93,1.86,0.66
2020-03-03,601318,66.29,65.3,66.38,65.07,678238,5418803200.0,2.0,-0.14,-0.09,0.63
2020-03-04,601318,65.71,66.39,66.56,65.71,677575,5443423488.0,1.3,1.67,1.09,0.63
2020-03-05,601318,66.82,68.26,68.57,66.43,960643,7866801920.0,3.22,2.82,1.87,0.89
2020-03-06,601318,67.38,66.72,67.73,66.61,584186,4739601664.0,1.64,-2.26,-1.54,0.54
2020-03-09,601318,64.72,63.95,64.81,63.83,1055083,8277312768.0,1.47,-4.15,-2.77,0.97
2020-03-10,601318,63.95,64.99,65.59,63.64,717006,5645289728.0,3.05,1.63,1.04,0.66
2020-03-11,601318,64.99,63.96,65.06,63.96,591404,4645175552.0,1.69,-1.58,-1.03,0.55
2020-03-12,601318,63.06,62.46,63.29,62.34,901291,6925926400.0,1.49,-2.35,-1.5,0.83
2020-03-13,601318,57.95,60.52,61.79,57.91,1166157,8615758848.0,6.21,-3.11,-1.94,1.08
2020-03-16,601318,60.31,57.81,60.33,57.61,979173,7135463680.0,4.49,-4.48,-2.71,0.9
2020-03-17,601318,57.46,57.95,58.81,56.7,950923,6841593600.0,3.65,0.24,0.14,0.88
2020-03-18,601318,58.34,55.68,58.69,55.66,852181,6077848832.0,5.23,-3.92,-2.27,0.79
2020-03-19,601318,54.91,53.62,55.68,52.13,1236761,8385522944.0,6.38,-3.7,-2.06,1.14
2020-03-20,601318,54.52,54.81,55.21,53.16,887269,6081160960.0,3.82,2.22,1.19,0.82
2020-03-23,601318,51.81,52.57,53.31,51.81,684080,4566662400.0,2.74,-4.09,-2.24,0.63
2020-03-24,601318,53.76,54.76,54.86,53.63,791633,5419438592.0,2.34,4.17,2.19,0.73
2020-03-25,601318,56.41,56.16,57.04,55.69,928186,6547779584.0,2.47,2.56,1.4,0.86
2020-03-26,601318,55.29,56.0,56.81,55.16,549870,3859228592.0,2.94,-0.28,-0.16,0.51
2020-03-27,601318,57.06,55.53,57.1,55.53,603084,4246255808.0,2.8,-0.84,-0.47,0.56
2020-03-30,601318,54.41,54.96,55.2,54.26,467956,3222983520.0,1.69,-1.03,-0.57,0.43
2020-03-31,601318,55.92,54.98,56.16,54.82,425368,2967824560.0,2.44,0.04,0.02,0.39
2020-04-01,601318,54.81,55.13,56.28,54.71,556929,3887226528.0,2.86,0.27,0.15,0.51
2020-04-02,601318,54.21,55.48,55.48,53.57,512029,3512800752.0,3.46,0.63,0.35,0.47
2020-04-03,601318,54.91,54.67,55.07,54.22,420254,2892833248.0,1.53,-1.46,-0.81,0.39
2020-04-07,601318,55.89,55.78,56.11,55.37,619348,4330830336.0,1.35,2.03,1.11,0.57
2020-04-08,601318,55.38,55.2,55.61,55.13,362459,2521691760.0,0.86,-1.04,-0.58,0.33
2020-04-09,601318,55.46,55.45,55.77,55.19,368308,2567770384.0,1.05,0.45,0.25,0.34
2020-04-10,601318,55.46,56.8,58.24,55.19,766250,5445247232.0,5.5,2.43,1.35,0.71
2020-04-13,601318,56.26,55.94,56.6,55.81,355170,2495812256.0,1.39,-1.51,-0.86,0.33
2020-04-14,601318,56.49,56.83,56.98,56.06,429697,3041154496.0,1.64,1.59,0.89,0.4
2020-04-15,601318,56.88,56.66,57.19,56.46,381515,2707408704.0,1.28,-0.3,-0.17,0.35
2020-04-16,601318,56.31,56.19,56.52,55.97,282943,1992746672.0,0.97,-0.83,-0.47,0.26
2020-04-17,601318,56.91,58.21,59.13,56.6,903679,6519197440.0,4.5,3.59,2.02,0.83
2020-04-20,601318,58.7,59.31,59.61,57.91,654194,4785645824.0,2.92,1.89,1.1,0.6
2020-04-21,601318,58.86,58.18,59.29,57.32,568984,4118269232.0,3.32,-1.91,-1.13,0.53
2020-04-22,601318,57.81,57.88,57.88,57.29,377673,2709336480.0,1.01,-0.52,-0.3,0.35
2020-04-23,601318,58.2,57.97,58.61,57.63,329666,2379812928.0,1.69,0.16,0.09,0.3
2020-04-24,601318,56.84,56.31,56.84,56.11,667116,4705918976.0,1.26,-2.86,-1.66,0.62
